"qa_id","note_id","qa_score","error_count","compliance_flag","inserted_at"
"QA000875","N036138","85.12",3,"Yes","2026-01-08 03:11:25.735226"
"QA000876","N025447","76.73",1,"No","2026-01-08 03:11:25.735226"
"QA000877","N003659","95.79",5,"Yes","2026-01-08 03:11:25.735226"
"QA000878","N038044","80.52",2,"Yes","2026-01-08 03:11:25.735226"
"QA000879","N012598","85.92",1,"Yes","2026-01-08 03:11:25.735226"
"QA000880","N032950","97.07",1,"Yes","2026-01-08 03:11:25.735226"
"QA000881","N033794","71.83",1,"Yes","2026-01-08 03:11:25.735226"
"QA000882","N002212","84.06",1,"Yes","2026-01-08 03:11:25.735226"
"QA000883","N004533","85.46",0,"Yes","2026-01-08 03:11:25.735226"
"QA000884","N027204","75.74",3,"Yes","2026-01-08 03:11:25.735226"
"QA000885","N040094","83.92",3,"Yes","2026-01-08 03:11:25.735226"
"QA000886","N033221","87.25",3,"Yes","2026-01-08 03:11:25.735226"
"QA000887","N017853","72.53",2,"Yes","2026-01-08 03:11:25.735226"
"QA000888","N020196","84.19",0,"Yes","2026-01-08 03:11:25.735226"
"QA000889","N025731","100.00",5,"Yes","2026-01-08 03:11:25.735226"
"QA000890","N018838","78.23",0,"Yes","2026-01-08 03:11:25.735226"
"QA000891","N022057","96.49",0,"No","2026-01-08 03:11:25.735226"
"QA000892","N044454","78.88",3,"Yes","2026-01-08 03:11:25.735226"
"QA000893","N006658","77.80",1,"Yes","2026-01-08 03:11:25.735226"
"QA000894","N034173","97.39",4,"Yes","2026-01-08 03:11:25.735226"
"QA000895","N004669","80.81",1,"Yes","2026-01-08 03:11:25.735226"
"QA000896","N037652","85.43",2,"Yes","2026-01-08 03:11:25.735226"
"QA000897","N049489","77.49",1,"Yes","2026-01-08 03:11:25.735226"
"QA000898","N045332","80.68",0,"No","2026-01-08 03:11:25.735226"
"QA000899","N003990","72.79",2,"Yes","2026-01-08 03:11:25.735226"
"QA000900","N027083","69.44",2,"Yes","2026-01-08 03:11:25.735226"
"QA000901","N043568","85.06",1,"Yes","2026-01-08 03:11:25.735226"
"QA000902","N004604","78.85",1,"Yes","2026-01-08 03:11:25.735226"
"QA000903","N047811","80.88",2,"Yes","2026-01-08 03:11:25.735226"
"QA000904","N024135","71.43",0,"Yes","2026-01-08 03:11:25.735226"
"QA000905","N026526","89.52",1,"Yes","2026-01-08 03:11:25.735226"
"QA000906","N044629","85.52",2,"Yes","2026-01-08 03:11:25.735226"
"QA000907","N002598","89.52",4,"Yes","2026-01-08 03:11:25.735226"
"QA000908","N013983","84.73",0,"Yes","2026-01-08 03:11:25.735226"
"QA000909","N006048","61.95",4,"Yes","2026-01-08 03:11:25.735226"
"QA000910","N007695","72.11",1,"Yes","2026-01-08 03:11:25.735226"
"QA000911","N006268","75.51",1,"Yes","2026-01-08 03:11:25.735226"
"QA000912","N005682","71.30",2,"Yes","2026-01-08 03:11:25.735226"
"QA000913","N007141","90.42",0,"Yes","2026-01-08 03:11:25.735226"
"QA000914","N009326","93.09",2,"Yes","2026-01-08 03:11:25.735226"
"QA000915","N033366","90.89",1,"No","2026-01-08 03:11:25.735226"
"QA000916","N021290","89.37",1,"Yes","2026-01-08 03:11:25.735226"
"QA000917","N001563","84.23",0,"Yes","2026-01-08 03:11:25.735226"
"QA000918","N047216","90.86",2,"Yes","2026-01-08 03:11:25.735226"
"QA000919","N049982","86.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000920","N028959","73.62",1,"Yes","2026-01-08 03:11:25.735226"
"QA000921","N044148","77.37",4,"No","2026-01-08 03:11:25.735226"
"QA000922","N019267","82.11",2,"Yes","2026-01-08 03:11:25.735226"
"QA000923","N008036","91.60",1,"Yes","2026-01-08 03:11:25.735226"
"QA000924","N005364","82.86",4,"Yes","2026-01-08 03:11:25.735226"
"QA000925","N026329","58.94",0,"Yes","2026-01-08 03:11:25.735226"
"QA000926","N010577","69.32",4,"Yes","2026-01-08 03:11:25.735226"
"QA000927","N044111","91.72",3,"Yes","2026-01-08 03:11:25.735226"
"QA000928","N021565","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000929","N030696","81.14",1,"Yes","2026-01-08 03:11:25.735226"
"QA000930","N000632","67.11",3,"No","2026-01-08 03:11:25.735226"
"QA000931","N031498","78.58",3,"Yes","2026-01-08 03:11:25.735226"
"QA000932","N040299","90.74",1,"Yes","2026-01-08 03:11:25.735226"
"QA000933","N039822","77.65",2,"Yes","2026-01-08 03:11:25.735226"
"QA000934","N031239","99.99",0,"Yes","2026-01-08 03:11:25.735226"
"QA000935","N002345","81.96",1,"Yes","2026-01-08 03:11:25.735226"
"QA000936","N048322","82.60",3,"Yes","2026-01-08 03:11:25.735226"
"QA000937","N030087","100.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA000938","N033496","78.72",3,"Yes","2026-01-08 03:11:25.735226"
"QA000939","N002411","68.28",4,"Yes","2026-01-08 03:11:25.735226"
"QA000940","N009109","84.67",3,"Yes","2026-01-08 03:11:25.735226"
"QA000941","N012143","80.90",1,"Yes","2026-01-08 03:11:25.735226"
"QA000942","N022689","88.38",1,"Yes","2026-01-08 03:11:25.735226"
"QA000943","N012238","93.29",1,"Yes","2026-01-08 03:11:25.735226"
"QA000944","N021440","78.79",2,"No","2026-01-08 03:11:25.735226"
"QA000945","N003433","76.87",2,"Yes","2026-01-08 03:11:25.735226"
"QA000946","N014316","85.54",1,"Yes","2026-01-08 03:11:25.735226"
"QA000947","N043535","91.86",4,"Yes","2026-01-08 03:11:25.735226"
"QA000948","N009812","95.46",4,"Yes","2026-01-08 03:11:25.735226"
"QA000949","N031913","83.61",3,"Yes","2026-01-08 03:11:25.735226"
"QA000950","N023173","81.63",1,"Yes","2026-01-08 03:11:25.735226"
"QA000951","N030053","82.65",1,"Yes","2026-01-08 03:11:25.735226"
"QA000952","N047969","89.53",1,"Yes","2026-01-08 03:11:25.735226"
"QA000953","N039963","73.71",1,"No","2026-01-08 03:11:25.735226"
"QA000954","N018239","80.76",1,"Yes","2026-01-08 03:11:25.735226"
"QA000955","N008263","84.26",4,"Yes","2026-01-08 03:11:25.735226"
"QA000956","N016692","78.38",2,"No","2026-01-08 03:11:25.735226"
"QA000957","N020072","98.36",4,"Yes","2026-01-08 03:11:25.735226"
"QA000958","N004771","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000959","N029889","71.24",1,"Yes","2026-01-08 03:11:25.735226"
"QA000960","N011431","100.00",6,"Yes","2026-01-08 03:11:25.735226"
"QA000961","N013500","96.02",2,"Yes","2026-01-08 03:11:25.735226"
"QA000962","N044654","84.96",1,"Yes","2026-01-08 03:11:25.735226"
"QA000963","N027162","82.33",3,"Yes","2026-01-08 03:11:25.735226"
"QA000964","N012592","82.39",1,"Yes","2026-01-08 03:11:25.735226"
"QA000965","N037615","85.65",0,"Yes","2026-01-08 03:11:25.735226"
"QA000966","N041234","93.66",2,"Yes","2026-01-08 03:11:25.735226"
"QA000967","N002699","75.17",4,"No","2026-01-08 03:11:25.735226"
"QA000968","N043259","68.55",4,"Yes","2026-01-08 03:11:25.735226"
"QA000969","N046638","85.31",3,"Yes","2026-01-08 03:11:25.735226"
"QA000970","N030445","93.12",2,"Yes","2026-01-08 03:11:25.735226"
"QA000971","N033723","67.36",1,"No","2026-01-08 03:11:25.735226"
"QA000972","N042344","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA000973","N011721","87.58",1,"Yes","2026-01-08 03:11:25.735226"
"QA000974","N006979","77.98",2,"Yes","2026-01-08 03:11:25.735226"
"QA000975","N049534","73.62",1,"Yes","2026-01-08 03:11:25.735226"
"QA000976","N020526","91.98",6,"Yes","2026-01-08 03:11:25.735226"
"QA000977","N042113","83.55",3,"Yes","2026-01-08 03:11:25.735226"
"QA000978","N006442","92.68",2,"Yes","2026-01-08 03:11:25.735226"
"QA000979","N002440","92.31",4,"No","2026-01-08 03:11:25.735226"
"QA000980","N031504","69.70",0,"Yes","2026-01-08 03:11:25.735226"
"QA000981","N009554","74.90",1,"Yes","2026-01-08 03:11:25.735226"
"QA000982","N006814","76.19",0,"Yes","2026-01-08 03:11:25.735226"
"QA000983","N028210","74.67",1,"No","2026-01-08 03:11:25.735226"
"QA000984","N037539","77.14",2,"Yes","2026-01-08 03:11:25.735226"
"QA000985","N015019","88.96",3,"No","2026-01-08 03:11:25.735226"
"QA000986","N045531","78.75",2,"Yes","2026-01-08 03:11:25.735226"
"QA000987","N030518","79.68",1,"Yes","2026-01-08 03:11:25.735226"
"QA000988","N029351","71.38",4,"Yes","2026-01-08 03:11:25.735226"
"QA000989","N016737","91.16",2,"Yes","2026-01-08 03:11:25.735226"
"QA000990","N018465","95.44",2,"Yes","2026-01-08 03:11:25.735226"
"QA000991","N009380","77.89",2,"Yes","2026-01-08 03:11:25.735226"
"QA000992","N018937","92.36",3,"Yes","2026-01-08 03:11:25.735226"
"QA000993","N022839","90.20",2,"Yes","2026-01-08 03:11:25.735226"
"QA000994","N023578","83.06",1,"Yes","2026-01-08 03:11:25.735226"
"QA000995","N022211","90.75",1,"Yes","2026-01-08 03:11:25.735226"
"QA000996","N010529","87.17",4,"No","2026-01-08 03:11:25.735226"
"QA000997","N019163","73.53",1,"Yes","2026-01-08 03:11:25.735226"
"QA000998","N007213","74.20",3,"No","2026-01-08 03:11:25.735226"
"QA000999","N049373","98.03",1,"Yes","2026-01-08 03:11:25.735226"
"QA001000","N009829","90.65",1,"Yes","2026-01-08 03:11:25.735226"
"QA001001","N008003","96.54",0,"No","2026-01-08 03:11:25.735226"
"QA001002","N011096","73.98",1,"No","2026-01-08 03:11:25.735226"
"QA001003","N008060","68.88",3,"Yes","2026-01-08 03:11:25.735226"
"QA001004","N028056","73.64",2,"No","2026-01-08 03:11:25.735226"
"QA001005","N041387","73.53",0,"Yes","2026-01-08 03:11:25.735226"
"QA001006","N031379","94.12",1,"Yes","2026-01-08 03:11:25.735226"
"QA001007","N008092","90.36",4,"Yes","2026-01-08 03:11:25.735226"
"QA001008","N032765","91.74",2,"Yes","2026-01-08 03:11:25.735226"
"QA001009","N029312","80.64",6,"Yes","2026-01-08 03:11:25.735226"
"QA001010","N048818","92.51",1,"Yes","2026-01-08 03:11:25.735226"
"QA001011","N001222","83.89",1,"Yes","2026-01-08 03:11:25.735226"
"QA001012","N037171","84.21",1,"Yes","2026-01-08 03:11:25.735226"
"QA001013","N028702","77.31",2,"Yes","2026-01-08 03:11:25.735226"
"QA001014","N045979","82.50",1,"No","2026-01-08 03:11:25.735226"
"QA001015","N034273","92.44",2,"Yes","2026-01-08 03:11:25.735226"
"QA001016","N000829","80.43",3,"Yes","2026-01-08 03:11:25.735226"
"QA001017","N026876","82.86",5,"Yes","2026-01-08 03:11:25.735226"
"QA001018","N041896","94.49",6,"Yes","2026-01-08 03:11:25.735226"
"QA001019","N048114","84.54",1,"Yes","2026-01-08 03:11:25.735226"
"QA001020","N017306","84.93",4,"Yes","2026-01-08 03:11:25.735226"
"QA001021","N046862","88.39",4,"Yes","2026-01-08 03:11:25.735226"
"QA001022","N033224","80.82",0,"Yes","2026-01-08 03:11:25.735226"
"QA001023","N049645","94.95",4,"Yes","2026-01-08 03:11:25.735226"
"QA001024","N044501","76.59",2,"Yes","2026-01-08 03:11:25.735226"
"QA001025","N049715","86.16",1,"Yes","2026-01-08 03:11:25.735226"
"QA001027","N040801","67.99",3,"Yes","2026-01-08 03:11:25.735226"
"QA001028","N047074","82.14",0,"Yes","2026-01-08 03:11:25.735226"
"QA001029","N014850","85.45",3,"Yes","2026-01-08 03:11:25.735226"
"QA001030","N005517","69.94",6,"Yes","2026-01-08 03:11:25.735226"
"QA001031","N040097","87.52",1,"Yes","2026-01-08 03:11:25.735226"
"QA001032","N027543","92.23",4,"Yes","2026-01-08 03:11:25.735226"
"QA001033","N049674","89.67",2,"No","2026-01-08 03:11:25.735226"
"QA001034","N005813","83.91",4,"Yes","2026-01-08 03:11:25.735226"
"QA001035","N047590","74.24",0,"Yes","2026-01-08 03:11:25.735226"
"QA001036","N043299","74.97",5,"Yes","2026-01-08 03:11:25.735226"
"QA001037","N012165","82.62",1,"Yes","2026-01-08 03:11:25.735226"
"QA001038","N022254","84.45",2,"Yes","2026-01-08 03:11:25.735226"
"QA001039","N039250","79.42",3,"No","2026-01-08 03:11:25.735226"
"QA001040","N025743","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA001041","N040701","77.29",2,"Yes","2026-01-08 03:11:25.735226"
"QA001042","N045657","74.22",2,"Yes","2026-01-08 03:11:25.735226"
"QA001043","N041066","65.96",1,"Yes","2026-01-08 03:11:25.735226"
"QA001044","N003900","88.98",2,"Yes","2026-01-08 03:11:25.735226"
"QA001045","N038006","80.84",2,"Yes","2026-01-08 03:11:25.735226"
"QA001046","N029546","100.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA001047","N045604","83.52",1,"Yes","2026-01-08 03:11:25.735226"
"QA001048","N032733","96.15",6,"Yes","2026-01-08 03:11:25.735226"
"QA001049","N043031","58.14",1,"Yes","2026-01-08 03:11:25.735226"
"QA001050","N027561","88.80",3,"Yes","2026-01-08 03:11:25.735226"
"QA001051","N019219","79.99",3,"Yes","2026-01-08 03:11:25.735226"
"QA001053","N040706","77.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA001054","N041783","76.24",0,"Yes","2026-01-08 03:11:25.735226"
"QA001055","N049027","73.57",3,"Yes","2026-01-08 03:11:25.735226"
"QA001056","N021151","93.04",2,"Yes","2026-01-08 03:11:25.735226"
"QA001057","N046231","92.19",4,"Yes","2026-01-08 03:11:25.735226"
"QA001058","N030353","98.08",1,"Yes","2026-01-08 03:11:25.735226"
"QA001059","N042656","73.17",3,"Yes","2026-01-08 03:11:25.735226"
"QA001060","N021903","78.45",1,"No","2026-01-08 03:11:25.735226"
"QA001061","N000302","86.63",2,"Yes","2026-01-08 03:11:25.735226"
"QA001062","N019033","76.80",3,"No","2026-01-08 03:11:25.735226"
"QA001063","N037360","91.62",2,"Yes","2026-01-08 03:11:25.735226"
"QA001064","N013303","74.94",1,"No","2026-01-08 03:11:25.735226"
"QA001066","N015898","57.05",1,"Yes","2026-01-08 03:11:25.735226"
"QA001067","N026642","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA001068","N032879","80.28",0,"Yes","2026-01-08 03:11:25.735226"
"QA001069","N019322","76.19",1,"No","2026-01-08 03:11:25.735226"
"QA001070","N004042","87.15",1,"Yes","2026-01-08 03:11:25.735226"
"QA001071","N044582","97.51",3,"Yes","2026-01-08 03:11:25.735226"
"QA001072","N042378","93.61",2,"Yes","2026-01-08 03:11:25.735226"
"QA001073","N023356","64.63",2,"Yes","2026-01-08 03:11:25.735226"
"QA001074","N036908","76.97",2,"Yes","2026-01-08 03:11:25.735226"
"QA001075","N038717","80.66",3,"Yes","2026-01-08 03:11:25.735226"
"QA001076","N019405","79.10",0,"Yes","2026-01-08 03:11:25.735226"
"QA001077","N042645","74.68",3,"Yes","2026-01-08 03:11:25.735226"
"QA001078","N021150","80.96",3,"Yes","2026-01-08 03:11:25.735226"
"QA001079","N032940","75.01",7,"Yes","2026-01-08 03:11:25.735226"
"QA001080","N017901","91.19",0,"Yes","2026-01-08 03:11:25.735226"
"QA001081","N019540","72.48",0,"Yes","2026-01-08 03:11:25.735226"
"QA001082","N024709","81.23",1,"No","2026-01-08 03:11:25.735226"
"QA001083","N040141","81.90",6,"Yes","2026-01-08 03:11:25.735226"
"QA001084","N027283","77.85",0,"Yes","2026-01-08 03:11:25.735226"
"QA001085","N038939","74.53",3,"Yes","2026-01-08 03:11:25.735226"
"QA001086","N035501","80.15",1,"Yes","2026-01-08 03:11:25.735226"
"QA001087","N038606","74.52",2,"Yes","2026-01-08 03:11:25.735226"
"QA001088","N016544","85.86",4,"Yes","2026-01-08 03:11:25.735226"
"QA001089","N039988","98.51",1,"Yes","2026-01-08 03:11:25.735226"
"QA001090","N028307","82.25",2,"Yes","2026-01-08 03:11:25.735226"
"QA001091","N008842","74.72",3,"Yes","2026-01-08 03:11:25.735226"
"QA001092","N034420","87.28",1,"Yes","2026-01-08 03:11:25.735226"
"QA001093","N017645","93.73",3,"No","2026-01-08 03:11:25.735226"
"QA001094","N025036","99.75",2,"Yes","2026-01-08 03:11:25.735226"
"QA001095","N014753","90.06",0,"No","2026-01-08 03:11:25.735226"
"QA001096","N022251","99.90",4,"Yes","2026-01-08 03:11:25.735226"
"QA001097","N020816","76.05",1,"Yes","2026-01-08 03:11:25.735226"
"QA001098","N035337","84.52",4,"Yes","2026-01-08 03:11:25.735226"
"QA001099","N029692","77.51",0,"Yes","2026-01-08 03:11:25.735226"
"QA001100","N049806","87.40",2,"No","2026-01-08 03:11:25.735226"
"QA001101","N022054","93.15",2,"Yes","2026-01-08 03:11:25.735226"
"QA001102","N038338","81.22",2,"Yes","2026-01-08 03:11:25.735226"
"QA001103","N031093","92.15",1,"Yes","2026-01-08 03:11:25.735226"
"QA001104","N025540","73.25",3,"Yes","2026-01-08 03:11:25.735226"
"QA001105","N007140","92.32",2,"Yes","2026-01-08 03:11:25.735226"
"QA001106","N020663","65.71",3,"Yes","2026-01-08 03:11:25.735226"
"QA001107","N023010","74.92",2,"Yes","2026-01-08 03:11:25.735226"
"QA001108","N003076","84.09",0,"Yes","2026-01-08 03:11:25.735226"
"QA001109","N017224","67.79",1,"Yes","2026-01-08 03:11:25.735226"
"QA001110","N028305","89.51",1,"Yes","2026-01-08 03:11:25.735226"
"QA001111","N036640","90.48",4,"Yes","2026-01-08 03:11:25.735226"
"QA001112","N035409","87.23",0,"Yes","2026-01-08 03:11:25.735226"
"QA001113","N015551","75.50",4,"Yes","2026-01-08 03:11:25.735226"
"QA001114","N036706","75.88",3,"Yes","2026-01-08 03:11:25.735226"
"QA001115","N041492","79.28",1,"No","2026-01-08 03:11:25.735226"
"QA001116","N040695","82.61",6,"Yes","2026-01-08 03:11:25.735226"
"QA001117","N009286","78.38",2,"Yes","2026-01-08 03:11:25.735226"
"QA001118","N043539","96.43",1,"Yes","2026-01-08 03:11:25.735226"
"QA001119","N003655","100.00",4,"Yes","2026-01-08 03:11:25.735226"
"QA001120","N023433","87.43",4,"No","2026-01-08 03:11:25.735226"
"QA001121","N001230","73.30",2,"Yes","2026-01-08 03:11:25.735226"
"QA001122","N019127","85.88",1,"Yes","2026-01-08 03:11:25.735226"
"QA001123","N048458","75.39",1,"No","2026-01-08 03:11:25.735226"
"QA001124","N000014","71.48",4,"Yes","2026-01-08 03:11:25.735226"
"QA001125","N034218","77.16",3,"Yes","2026-01-08 03:11:25.735226"
"QA001126","N033612","89.97",4,"Yes","2026-01-08 03:11:25.735226"
"QA001127","N008049","80.48",3,"Yes","2026-01-08 03:11:25.735226"
"QA001128","N039518","91.91",1,"Yes","2026-01-08 03:11:25.735226"
"QA001129","N047233","91.70",2,"No","2026-01-08 03:11:25.735226"
"QA001130","N029048","79.63",1,"Yes","2026-01-08 03:11:25.735226"
"QA001131","N027006","98.20",1,"Yes","2026-01-08 03:11:25.735226"
"QA001132","N012662","80.59",1,"Yes","2026-01-08 03:11:25.735226"
"QA001133","N044950","91.41",3,"Yes","2026-01-08 03:11:25.735226"
"QA001134","N026375","79.43",3,"Yes","2026-01-08 03:11:25.735226"
"QA001135","N036816","84.26",3,"Yes","2026-01-08 03:11:25.735226"
"QA001136","N025035","72.91",2,"No","2026-01-08 03:11:25.735226"
"QA001137","N021487","69.06",1,"Yes","2026-01-08 03:11:25.735226"
"QA001138","N010001","63.61",3,"No","2026-01-08 03:11:25.735226"
"QA001139","N024263","100.00",3,"Yes","2026-01-08 03:11:25.735226"
"QA001140","N037281","78.46",1,"Yes","2026-01-08 03:11:25.735226"
"QA001141","N020943","100.00",2,"Yes","2026-01-08 03:11:25.735226"
"QA001142","N044232","89.57",0,"Yes","2026-01-08 03:11:25.735226"
"QA001143","N000901","83.92",3,"Yes","2026-01-08 03:11:25.735226"
"QA001144","N045498","91.22",1,"No","2026-01-08 03:11:25.735226"
"QA001145","N005913","86.07",1,"Yes","2026-01-08 03:11:25.735226"
"QA001146","N024818","100.00",4,"Yes","2026-01-08 03:11:25.735226"
"QA001147","N044473","95.06",2,"Yes","2026-01-08 03:11:25.735226"
"QA001148","N029860","82.80",2,"Yes","2026-01-08 03:11:25.735226"
"QA001149","N026468","83.43",2,"Yes","2026-01-08 03:11:25.735226"
"QA001150","N018732","76.43",1,"Yes","2026-01-08 03:11:25.735226"
"QA001151","N043308","75.64",5,"Yes","2026-01-08 03:11:25.735226"
"QA001152","N046311","52.97",4,"Yes","2026-01-08 03:11:25.735226"
"QA001153","N038266","97.25",1,"Yes","2026-01-08 03:11:25.735226"
"QA001154","N019832","88.56",0,"Yes","2026-01-08 03:11:25.735226"
"QA001155","N045651","66.95",1,"Yes","2026-01-08 03:11:25.735226"
"QA001156","N015956","90.23",1,"Yes","2026-01-08 03:11:25.735226"
"QA001157","N011047","84.20",1,"No","2026-01-08 03:11:25.735226"
"QA001158","N001565","82.42",1,"Yes","2026-01-08 03:11:25.735226"
"QA001159","N021800","74.69",2,"Yes","2026-01-08 03:11:25.735226"
"QA001160","N011740","81.41",3,"Yes","2026-01-08 03:11:25.735226"
"QA001161","N037475","78.66",0,"No","2026-01-08 03:11:25.735226"
"QA001162","N010554","83.27",3,"Yes","2026-01-08 03:11:25.735226"
"QA001163","N044321","83.58",3,"Yes","2026-01-08 03:11:25.735226"
"QA001164","N036876","57.96",1,"Yes","2026-01-08 03:11:25.735226"
"QA001165","N029045","76.82",3,"Yes","2026-01-08 03:11:25.735226"
"QA001166","N041153","81.64",1,"Yes","2026-01-08 03:11:25.735226"
"QA001167","N032635","65.87",2,"No","2026-01-08 03:11:25.735226"
"QA001168","N036928","95.61",0,"Yes","2026-01-08 03:11:25.735226"
"QA001169","N001343","67.87",2,"Yes","2026-01-08 03:11:25.735226"
"QA001170","N023952","68.45",1,"Yes","2026-01-08 03:11:25.735226"
"QA001171","N039045","58.71",4,"Yes","2026-01-08 03:11:25.735226"
"QA001172","N003891","96.25",5,"Yes","2026-01-08 03:11:25.735226"
"QA001173","N026617","90.71",3,"Yes","2026-01-08 03:11:25.735226"
"QA001174","N044760","83.34",1,"Yes","2026-01-08 03:11:25.735226"
"QA001175","N000936","85.59",3,"Yes","2026-01-08 03:11:25.735226"
"QA001176","N044890","59.66",0,"Yes","2026-01-08 03:11:25.735226"
"QA001177","N020863","99.66",1,"Yes","2026-01-08 03:11:25.735226"
"QA001178","N015142","87.46",2,"Yes","2026-01-08 03:11:25.735226"
"QA001179","N036544","74.82",0,"Yes","2026-01-08 03:11:25.735226"
"QA001180","N032418","70.11",0,"Yes","2026-01-08 03:11:25.735226"
"QA001181","N042617","100.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA001182","N028125","87.10",3,"Yes","2026-01-08 03:11:25.735226"
"QA001183","N000469","70.17",1,"Yes","2026-01-08 03:11:25.735226"
"QA001184","N000344","100.00",5,"No","2026-01-08 03:11:25.735226"
"QA001185","N016339","81.00",0,"Yes","2026-01-08 03:11:25.735226"
"QA001186","N009938","79.87",3,"Yes","2026-01-08 03:11:25.735226"
"QA001187","N034970","74.79",0,"Yes","2026-01-08 03:11:25.735226"
"QA001188","N043007","90.60",4,"Yes","2026-01-08 03:11:25.735226"
"QA001189","N023785","82.63",2,"Yes","2026-01-08 03:11:25.735226"
"QA001190","N048075","84.77",1,"Yes","2026-01-08 03:11:25.735226"
"QA001191","N035886","81.80",1,"Yes","2026-01-08 03:11:25.735226"
"QA001192","N022048","98.53",4,"Yes","2026-01-08 03:11:25.735226"
"QA001193","N029415","91.16",3,"Yes","2026-01-08 03:11:25.735226"
"QA001194","N013809","74.76",2,"Yes","2026-01-08 03:11:25.735226"
"QA001196","N010904","68.88",1,"Yes","2026-01-08 03:11:25.735226"
"QA001197","N018734","66.81",4,"No","2026-01-08 03:11:25.735226"
"QA001198","N025949","96.13",1,"Yes","2026-01-08 03:11:25.735226"
"QA001199","N037340","96.36",2,"Yes","2026-01-08 03:11:25.735226"
"QA001200","N002507","82.26",2,"Yes","2026-01-08 03:11:25.735226"
"QA001201","N031744","98.28",1,"Yes","2026-01-08 03:11:25.735226"
"QA001202","N039021","79.23",0,"Yes","2026-01-08 03:11:25.735226"
"QA001203","N042902","88.77",3,"Yes","2026-01-08 03:11:25.735226"
"QA001204","N030437","80.01",3,"Yes","2026-01-08 03:11:25.735226"
"QA001205","N027245","94.61",4,"No","2026-01-08 03:11:25.735226"
"QA001206","N017100","91.99",2,"Yes","2026-01-08 03:11:25.735226"
"QA001207","N028272","79.71",2,"Yes","2026-01-08 03:11:25.735226"
"QA001208","N000183","88.92",1,"Yes","2026-01-08 03:11:25.735226"
"QA001209","N003448","71.80",3,"Yes","2026-01-08 03:11:25.735226"
"QA001210","N006661","69.85",3,"Yes","2026-01-08 03:11:25.735226"
"QA001211","N044003","79.16",1,"Yes","2026-01-08 03:11:25.735226"
"QA001212","N044747","85.97",5,"Yes","2026-01-08 03:11:25.735226"
"QA001213","N032946","87.80",3,"Yes","2026-01-08 03:11:25.735226"
"QA001214","N013504","77.61",1,"No","2026-01-08 03:11:25.735226"
"QA001215","N029254","85.16",2,"Yes","2026-01-08 03:11:25.735226"
"QA001216","N040629","81.57",0,"Yes","2026-01-08 03:11:25.735226"
"QA001217","N025171","65.21",5,"Yes","2026-01-08 03:11:25.735226"
"QA001218","N006669","81.84",2,"No","2026-01-08 03:11:25.735226"
"QA001219","N044483","82.80",2,"Yes","2026-01-08 03:11:25.735226"
"QA001220","N045449","83.07",5,"Yes","2026-01-08 03:11:25.735226"
"QA001221","N019492","75.63",2,"Yes","2026-01-08 03:11:25.735226"
"QA001222","N025303","80.96",6,"Yes","2026-01-08 03:11:25.735226"
"QA001223","N013883","100.00",1,"Yes","2026-01-08 03:11:25.735226"
"QA001224","N007405","95.43",1,"Yes","2026-01-08 03:11:25.735226"
"QA001225","N017438","84.12",4,"Yes","2026-01-08 03:11:25.735226"
"QA001226","N025285","86.13",4,"Yes","2026-01-08 03:11:25.735226"
"QA001227","N048562","81.50",2,"Yes","2026-01-08 03:11:25.735226"
"QA001228","N015359","84.97",1,"Yes","2026-01-08 03:11:25.735226"
"QA001229","N049474","65.32",2,"Yes","2026-01-08 03:11:25.735226"
"QA001230","N028086","76.19",3,"No","2026-01-08 03:11:25.735226"
"QA001231","N022697","67.38",3,"Yes","2026-01-08 03:11:25.735226"
"QA001232","N008106","71.44",1,"Yes","2026-01-08 03:11:25.735226"
"QA001233","N018795","65.92",6,"Yes","2026-01-08 03:11:25.735226"
"QA001234","N029056","66.68",3,"Yes","2026-01-08 03:11:25.735226"
"QA001235","N014181","86.47",3,"Yes","2026-01-08 03:11:25.735226"
"QA001236","N046363","78.85",1,"Yes","2026-01-08 03:11:25.735226"
"QA001237","N020406","89.13",1,"Yes","2026-01-08 03:11:25.735226"
"QA001238","N000645","78.59",2,"Yes","2026-01-08 03:11:25.735226"
"QA001239","N048068","73.04",2,"No","2026-01-08 03:11:25.735226"
"QA001240","N023913","83.29",6,"Yes","2026-01-08 03:11:25.735226"
"QA001241","N034043","71.43",0,"Yes","2026-01-08 03:11:25.735226"
"QA001242","N005304","86.27",3,"Yes","2026-01-08 03:11:25.735226"
"QA001243","N037674","85.71",4,"Yes","2026-01-08 03:11:25.735226"
"QA001244","N008593","91.23",0,"No","2026-01-08 03:11:25.735226"
"QA001245","N014803","95.18",2,"No","2026-01-08 03:11:25.735226"
"QA001246","N036722","76.94",0,"Yes","2026-01-08 03:11:25.735226"
"QA001247","N048854","70.14",2,"No","2026-01-08 03:11:25.735226"
"QA001248","N008773","72.88",3,"Yes","2026-01-08 03:11:25.735226"
